group_a,group_b,n_a,n_b,median_a,median_b,p_value,effect_r
Colorectal,Pancreatic,3,17,0.467,0.132,0.00811430913711653,-1.0
Colorectal,Other,3,207,0.467,0.218,0.01021054663283285,-0.865
Other,Normal/Control,207,12,0.218,0.078,0.022474245466957535,-0.392
Colorectal,Normal/Control,3,12,0.467,0.078,0.025140792152658794,-0.889
Lung,Pancreatic,7,17,0.467,0.132,0.02609391647492331,-0.597
Colorectal,Breast,3,12,0.467,0.223,0.04417134490844261,-0.778
Lung,Normal/Control,7,12,0.467,0.078,0.0567876091511873,-0.548
Colorectal,Lung,3,7,0.467,0.467,0.08876926235573213,-0.714
Pancreatic,Normal/Control,17,12,0.132,0.078,0.11595833871024597,-0.353
Breast,Normal/Control,12,12,0.223,0.078,0.14009047572111183,-0.361
Lung,Other,7,207,0.467,0.218,0.1475123396713311,-0.322
Other,Pancreatic,207,17,0.218,0.132,0.23154227547967487,-0.175
Lung,Breast,7,12,0.467,0.223,0.4613027199414199,-0.214
Breast,Pancreatic,12,17,0.223,0.132,0.61015175484365,-0.118
Breast,Other,12,207,0.223,0.218,0.9382700875835716,-0.014
