,HER2 positive breast carcinoma,breast cancer,breast carcinoma,estrogen-receptor positive breast cancer,invasive ductal breast carcinoma,invasive lobular breast carcinoma,triple-negative breast carcinoma
_immune_response,-0.44545898,0.17362094,0.81180227,-0.44545898,0.40220734,1.5963621,-0.44545898
_tca_cycle,-0.39148727,0.1683822,0.71188974,-0.39148727,0.3490228,0.8323411,-0.39148727
_heme_containing_proteins,-0.1873722,-0.3533391,0.589996,-0.14989221,0.16879854,0.30219147,-0.14350173
_cytochromes,-0.1873722,-0.3533391,0.589996,-0.14989221,0.16879854,0.30219147,-0.14350173
_cytochrome_c,-0.1873722,-0.3533391,0.589996,-0.14989221,0.16879854,0.30219147,-0.14350173
_nucleotide_metabolism,-0.1481982,0.8422731,0.24025293,-0.09968616,-0.13592766,0.11194423,-0.20378205
_tom,0.07355154,-0.5209489,0.3087761,0.14818306,-0.037093427,0.2872191,0.007233292
_cv_subunits,0.11738458,-0.44173756,0.3297641,0.19694886,-0.0040359604,0.15369388,0.0553311
_oxphos_subunits,0.01579899,-0.4122714,0.41650808,0.081335165,0.05357553,0.20319307,-0.010946517
steroid_synthesis,0.035650507,-0.07985942,0.34884143,0.03503355,-0.053784467,0.41526827,-0.04563419
bile_acid,0.035650507,-0.07985942,0.34884143,0.03503355,-0.053784467,0.41526827,-0.04563419
_branched_chain_amino_acid_met,0.035650507,-0.07985942,0.34884143,0.03503355,-0.053784467,0.41526827,-0.04563419
_fatty_acid_oxidation,0.035650507,-0.07985942,0.34884143,0.03503355,-0.053784467,0.41526827,-0.04563419
_cholesterol,0.035650507,-0.07985942,0.34884143,0.03503355,-0.053784467,0.41526827,-0.04563419
_mtrna_metabolism,-0.11830516,0.6268561,0.08622076,-0.10141336,-0.10827868,0.04230752,-0.18088397
